fecha,linea,turno,envase,maquina,toma,kg,und,baja
2026-01-05,1,3,3500005,6,1,10.0,57,true
2026-01-05,1,3,3500005,7,1,11.0,63,true
2026-01-05,1,3,3500005,8,1,10.0,57,true
2026-01-05,1,3,3500005,9,1,11.0,63,true
2026-01-05,1,3,3500005,10,1,12.0,68,true
2026-01-05,1,3,3500005,11,1,14.0,80,true
2026-01-05,1,3,3500005,12,1,16.0,91,true
2026-01-05,1,3,3500005,13,1,20.0,113,true
2026-01-05,1,1,3500005,1,1,22.0,125,true
2026-01-05,1,1,3500005,2,1,18.0,102,true
2026-01-05,1,1,3500005,3,1,20.0,113,true
2026-01-05,1,1,3500005,4,1,17.0,97,true
2026-01-05,1,1,3500005,5,1,12.0,68,true
2026-01-05,1,1,3500005,6,1,19.0,108,true
2026-01-05,1,1,3500005,7,1,12.0,68,true
2026-01-05,1,1,3500005,8,1,29.0,164,true
2026-01-05,1,1,3500005,9,1,14.0,80,true
2026-01-05,1,1,3500005,10,1,16.0,91,true
2026-01-05,1,1,3500005,11,1,22.0,125,true
2026-01-05,1,1,3500005,12,1,20.0,113,true
2026-01-05,1,1,3500005,13,1,22.0,125,true
2026-01-05,4,1,3501430,1,1,29.0,91,true
2026-01-05,4,1,3501430,2,1,18.0,57,true
2026-01-05,4,1,3501430,3,1,22.0,69,true
2026-01-05,4,1,3501430,4,1,18.0,57,true
2026-01-05,4,1,3501430,5,1,16.0,50,true
2026-01-05,4,1,3501430,6,1,18.0,57,true
2026-01-05,4,1,3501430,7,1,12.0,38,true
2026-01-05,4,1,3501430,8,1,32.0,100,true
2026-01-05,4,1,3501430,9,1,10.0,32,true
2026-01-05,4,1,3501430,10,1,16.0,50,true
2026-01-05,4,1,3501430,11,1,22.0,69,true
2026-01-05,4,1,3501430,12,1,27.0,85,true
2026-01-05,4,1,3501430,13,1,32.0,100,true
2026-01-05,6,1,3500887,1,1,27.0,44,true
2026-01-05,6,1,3500887,2,1,18.0,30,true
2026-01-05,6,1,3500887,3,1,12.0,20,true
2026-01-05,6,1,3500887,4,1,16.0,26,true
2026-01-05,6,1,3500887,5,1,14.0,23,true
2026-01-05,6,1,3500887,6,1,20.0,33,true
2026-01-05,6,1,3500887,7,1,17.0,28,true
2026-01-05,6,1,3500887,8,1,32.0,52,true
2026-01-05,6,1,3500887,9,1,17.0,28,true
2026-01-05,6,1,3500887,10,1,10.0,17,true
2026-01-05,6,1,3500887,11,1,14.0,23,true
2026-01-05,6,1,3500887,12,1,22.0,36,true
2026-01-05,6,1,3500887,13,1,27.0,44,true
2026-01-05,1,2,3500005,1,1,39.0,221,true
2026-01-05,1,2,3500005,2,1,37.0,210,true
2026-01-05,1,2,3500005,3,1,32.0,181,true
2026-01-05,1,2,3500005,4,1,36.0,204,true
2026-01-05,1,2,3500005,5,1,31.0,176,true
2026-01-05,1,2,3500005,6,1,50.0,283,true
2026-01-05,1,2,3500005,7,1,16.0,91,true
2026-01-05,1,2,3500005,8,1,15.0,85,true
2026-01-05,1,2,3500005,9,1,19.0,108,true
2026-01-05,1,2,3500005,10,1,11.0,63,true
2026-01-05,1,2,3500005,11,1,12.0,68,true
2026-01-05,1,2,3500005,12,1,14.0,80,true
2026-01-05,1,2,3500005,13,1,28.0,159,true
2026-01-05,4,2,3501430,1,1,36.0,113,true
2026-01-05,4,2,3501430,2,1,34.0,106,true
2026-01-05,4,2,3501430,3,1,31.0,97,true
2026-01-05,4,2,3501430,4,1,31.0,97,true
2026-01-05,4,2,3501430,5,1,30.0,94,true
2026-01-05,4,2,3501430,6,1,50.0,156,true
2026-01-05,4,2,3501430,7,1,19.0,60,true
2026-01-05,4,2,3501430,8,1,18.0,57,true
2026-01-05,4,2,3501430,9,1,16.0,50,true
2026-01-05,4,2,3501430,10,1,11.0,35,true
2026-01-05,4,2,3501430,11,1,12.0,38,true
2026-01-05,4,2,3501430,12,1,16.0,50,true
2026-01-05,4,2,3501430,13,1,45.0,141,true
2026-01-05,6,2,3500887,1,1,32.0,52,true
2026-01-05,6,2,3500887,2,1,31.0,50,true
2026-01-05,6,2,3500887,3,1,30.0,49,true
2026-01-05,6,2,3500887,4,1,24.0,39,true
2026-01-05,6,2,3500887,5,1,21.0,34,true
2026-01-05,6,2,3500887,6,1,41.0,67,true
2026-01-05,6,2,3500887,7,1,19.0,31,true
2026-01-05,6,2,3500887,8,1,11.0,18,true
2026-01-05,6,2,3500887,9,1,12.0,20,true
2026-01-05,6,2,3500887,10,1,16.0,26,true
2026-01-05,6,2,3500887,11,1,19.0,31,true
2026-01-05,6,2,3500887,12,1,11.0,18,true
2026-01-05,6,2,3500887,13,1,22.0,36,true
2026-01-06,1,1,3500005,1,1,12.0,68,true
2026-01-06,1,1,3500005,2,1,17.0,97,true
2026-01-06,1,1,3500005,3,1,21.0,119,true
2026-01-06,1,1,3500005,4,1,16.0,91,true
2026-01-06,1,1,3500005,5,1,10.0,57,true
2026-01-06,1,1,3500005,6,1,18.0,102,true
2026-01-06,1,1,3500005,7,1,12.0,68,true
2026-01-06,1,1,3500005,8,1,29.0,164,true
2026-01-06,1,1,3500005,9,1,12.0,68,true
2026-01-06,1,1,3500005,10,1,10.0,57,true
2026-01-06,1,1,3500005,11,1,21.0,119,true
2026-01-06,1,1,3500005,12,1,24.0,136,true
